agent0 payoff mean,agent0 payoff min,agent1 payoff mean,agent1 payoff min,deal mean,last timestep mean,last timestep min,last proposer payoff mean,last proposer payoff min,last responder payoff mean,last responder payoff min,proposer last decision mean,proposer last decision min,file name,task
$0.33 \pm 0.49$,"$0.00, 1.00$",$0.67 \pm 0.49$,"$0.00, 1.00$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",2_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.42 \pm 0.51$,"$0.00, 1.00$",$0.50 \pm 0.52$,"$0.00, 1.00$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.92 \pm 0.29$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",3_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.67 \pm 0.49$,"$0.00, 1.00$",$0.17 \pm 0.39$,"$0.00, 1.00$",$0.83 \pm 0.39$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.83 \pm 0.39$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.01$",$1.00 \pm 0.00$,"$0.99, 1.00$",4_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",5_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.92 \pm 0.29$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.92 \pm 0.29$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.92 \pm 0.29$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",6_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.75 \pm 0.45$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.75 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.75 \pm 0.45$,"$0.00, 1.00$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,"$1.00, 1.00$",7_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=unbounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.44 \pm 0.33$,"$0.00, 0.67$",$0.22 \pm 0.33$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.67 \pm 0.00$,"$0.67, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",8_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.22 \pm 0.33$,"$0.00, 0.67$",$0.44 \pm 0.33$,"$0.00, 0.67$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.67 \pm 0.00$,"$0.66, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.01$",$0.50 \pm 0.00$,"$0.49, 0.50$",9_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
$0.17 \pm 0.30$,"$0.00, 0.67$",$0.33 \pm 0.35$,"$0.00, 0.67$",$0.75 \pm 0.45$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.50 \pm 0.30$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",10_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=coin_flip_may_meet_again_context=may_meet_again_fixed_role_long_term_type=.csv,bargaining
$0.67 \pm 0.00$,"$0.67, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$1.00 \pm 0.00$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.67 \pm 0.00$,"$0.67, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",11_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=never_meet_again_long_term_type=.csv,bargaining
$0.56 \pm 0.26$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.83 \pm 0.39$,$1.00 \pm 0.00$,"$1.00, 1.00$",$0.56 \pm 0.26$,"$0.00, 0.67$",$0.00 \pm 0.00$,"$0.00, 0.00$",$0.50 \pm 0.00$,"$0.50, 0.50$",12_task=bargaining_duration=one_shot_scenario=pure_math_value_setting=bounded_first_run_proposer=system_assigned_may_meet_again_context=may_meet_again_alternating_long_term_type=.csv,bargaining
